스티브 잡스
데니스 리치
그레이스 호퍼
앨런 튜링
존 폰 노이만
더글러스 엥겔바트
존 백커스
에이다 러브레이스
이반 서덜랜드
페르난도 코바토
클로드 섀넌
앨런 케이
진 아메달
앨런 퍼리스
존 매카시
린스 토닝
로버트 노이스
고든 무어
빌 잉글리시
게리 킬달
오틀리 바이어스
톰 킬번
에드거 코드
도널드 데이비스
켄 올슨
헨리 에드워즈 로버츠
제이 프레슬퍼바 블리스 코헨
에드 로버츠
안나 안토니아치
장 사무엘 로
게르하르트 브링크만
사무엘 모스
찰스 배비지
존 앳터내스오프
클리포드 베리
콘래드 주세
프레더릭 틸덴
존 클라크
마빈 민스키
하랄드 반 존
프레드 브룩스
유진 아밍턴
카를 폰 프리시
시모어 크레이
프란시스 스펜서
제이 라이트 포리스트
조셉 와이젤바움
필립 베크먼
매니엘 블럼
아브람 포트
허브 그로스
제임스 골드스타인
나단 바틀레트
앤드류 부스
레이 노이블
리처드 블록
토머스 플라워스
노먼 브리지
잭 킬비
에드슨 드 구즈만
해럴드 로젠
제임스 리처드슨
로버트 브룩
윌리엄 쇼클리
윌리스 호킨스
존 빈센트 아타나소프
에리크 사무엘
존 브레이너드
어네스트 애플
해럴드 베어드
조지 애플턴
로버트 해링턴
제임스 와즈니아크
칼 헬너
앨런 티모시
월터 보쉬
레너드 클라인록
존 테이틀러
해럴드 에반스
리처드 해밀턴
도날드 미첼
필립 플린
제롬 루빈
아론 스와츠
폴 바란
잭 맥카퍼티
존 파스트
프랭크 로즈
도날드 크누스
조셉 칼
윌리엄 브래드포드
루이스 스몰우드
잭 트램멜
고든 벨
제임스 그레이
로버트 카
존 헤지스
피터 패커드
하워드 에이컨
토머스 왓슨
